Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1583.13459122,OUT049
FDW14,1457.05348112,OUT017
NCN55,571.99068363,OUT010
FDQ58,2476.5745777,OUT017
FDY38,5873.87296054,OUT027
FDH56,1930.7784646,OUT046
FDL48,730.012576969,OUT018
FDC48,2267.32884135,OUT027
FDN33,1526.55715142,OUT045
FDA36,3060.19150257,OUT017
FDT44,1953.95905419,OUT017
FDQ56,1446.3694618,OUT045
NCC54,572.22617416,OUT019
FDU11,2021.45091923,OUT049
DRL59,837.742036103,OUT013
FDM24,2461.39834212,OUT049
FDI57,3082.96769551,OUT045
DRC12,3060.19150257,OUT018
NCM42,2887.01074194,OUT027
FDA46,515.283731468,OUT010
FDA31,2840.31636221,OUT013
NCJ31,3862.19234517,OUT035
FDG52,741.708837116,OUT046
NCL19,286.482307078,OUT019
FDS10,3012.41750084,OUT035
FDX22,565.554676036,OUT010
NCF19,731.895279049,OUT035
NCE06,2528.17073104,OUT046
DRC27,3894.23901501,OUT046
FDE21,1930.7784646,OUT035
NCR42,129.84813518,OUT019
FDX51,3060.19150257,OUT018
NCR06,657.492589055,OUT018
FDU31,5873.87296054,OUT027
FDU59,2568.78694867,OUT017
FDR03,5873.87296054,OUT027
FDS49,2154.81783598,OUT027
FDD48,262.412387051,OUT010
NCF18,3060.19150257,OUT017
NCD43,2819.2445332,OUT027
NCD54,2143.2108521,OUT018
FDY19,263.143083026,OUT010
NCY54,2840.31636221,OUT017
NCL19,2461.39834212,OUT018
FDP23,572.359935713,OUT010
FDC26,1690.39137449,OUT013
FDR14,129.84813518,OUT010
NCS41,3060.19150257,OUT035
FDF41,3920.98326648,OUT035
FDU34,2027.49101247,OUT046
DRH11,971.006636223,OUT046
FDM03,1583.13459122,OUT013
FDS31,3017.73958825,OUT017
FDJ20,2021.45091923,OUT017
FDV44,5050.77816746,OUT027
FDG02,3060.19150257,OUT049
FDA09,2972.74614773,OUT013
FDT04,702.201254683,OUT013
FDL58,570.751775771,OUT019
FDE52,1491.17538774,OUT045
FDW12,2461.39834212,OUT035
FDL51,3701.06782026,OUT017
NCY42,3048.27257621,OUT027
FDR07,1526.55715142,OUT017
FDN40,2469.53349608,OUT045
FDB35,2678.21990572,OUT027
FDA22,2568.78694867,OUT017
NCL06,4025.61276268,OUT046
FDI35,3017.73958825,OUT013
NCW42,3741.09731712,OUT045
NCX06,2987.03964082,OUT049
FDC37,2859.05713179,OUT027
FDZ14,2021.45091923,OUT018
DRG49,3894.23901501,OUT049
NCG06,4005.87969254,OUT045
DRC36,2840.31636221,OUT045
FDV21,278.896463799,OUT019
FDB53,2461.39834212,OUT046
DRP47,571.304348924,OUT019
FDA14,2461.39834212,OUT013
DRC24,2469.53349608,OUT035
FDW21,1546.30164418,OUT018
NCH29,1526.55715142,OUT046
FDU58,3060.19150257,OUT013
FDY27,2875.17722738,OUT017
FDV56,1603.62040275,OUT035
FDT59,3809.77846519,OUT046
FDB23,3779.8838703,OUT046
FDR49,734.717752039,OUT045
FDB03,572.22617416,OUT010
FDN39,2568.78694867,OUT045
FDX02,5873.87296054,OUT027
FDQ16,2859.05713179,OUT027
FDU35,1531.14800145,OUT018
NCT29,2021.45091923,OUT013
FDZ27,741.708837116,OUT046
FDN57,2047.92016795,OUT017
FDA03,2461.39834212,OUT018
FDZ36,3060.19150257,OUT045
NCU05,1485.50611456,OUT013
FDT39,2461.39834212,OUT018
FDK60,1526.55715142,OUT017
FDZ25,2735.37849197,OUT017
FDG12,2021.45091923,OUT046
DRB01,510.243886587,OUT019
NCC43,5873.87296054,OUT027
FDX13,571.438110477,OUT019
FDM22,901.953885716,OUT049
FDJ03,1052.62974679,OUT027
FDU14,3820.82034523,OUT018
FDB33,380.627073459,OUT010
FDP27,3060.19150257,OUT046
FDO38,163.078328468,OUT010
FDE28,5873.87296054,OUT027
FDO27,1526.55715142,OUT035
DRL23,2859.05713179,OUT027
FDS28,971.006636223,OUT046
FDX24,1538.29405286,OUT013
FDZ02,1526.55715142,OUT035
FDL46,1930.7784646,OUT045
FDS60,4719.21396254,OUT027
NCO06,651.964668989,OUT017
FDO16,1438.69198276,OUT035
FDC60,1457.05348112,OUT049
FDA48,3538.63609378,OUT018
FDZ36,5050.77816746,OUT027
FDK27,2021.45091923,OUT045
FDW23,655.460903899,OUT018
FDM14,1647.64176518,OUT018
FDM14,1583.13459122,OUT013
FDW60,2875.17722738,OUT018
FDE21,1930.7784646,OUT013
NCM42,1603.62040275,OUT035
FDY59,228.87371303,OUT010
DRI49,1392.41446583,OUT049
FDT28,363.36512024,OUT019
FDQ22,655.460903899,OUT018
FDR60,1339.55584921,OUT049
FDC50,239.943030304,OUT019
FDV24,2461.39834212,OUT013
DRF48,493.692062213,OUT010
FDQ47,665.319829505,OUT046
DRN36,1526.55715142,OUT049
NCY06,2032.54282264,OUT035
FDE52,1487.34445505,OUT035
NCB54,2027.49101247,OUT045
NCF31,2465.20721492,OUT035
FDJ08,5050.77816746,OUT027
NCC07,1583.13459122,OUT017
NCD19,1230.80451734,OUT027
FDL46,1953.95905419,OUT049
FDM20,3915.9303112,OUT045
NCI06,443.028310847,OUT010
DRM11,4044.08273371,OUT035
NCH07,2528.17073104,OUT018
FDS23,2043.50865416,OUT013
FDO49,730.012576969,OUT018
FDS35,1062.40663285,OUT049
DRK39,1408.26538607,OUT045
DRI39,929.641363709,OUT049
FDV04,2528.17073104,OUT017
NCN14,3055.63843563,OUT035
FDH08,3809.6418691,OUT013
FDS20,3060.19150257,OUT046
FDV40,1109.0450268,OUT049
FDZ48,256.952928072,OUT010
FDS24,2545.77841288,OUT027
FDK44,2840.31636221,OUT049
FDS48,2461.39834212,OUT045
FDK26,494.448261833,OUT010
FDD23,3060.19150257,OUT045
NCH54,2528.17073104,OUT017
NCP14,241.707767512,OUT010
FDM60,129.84813518,OUT010
FDV24,2461.39834212,OUT017
FDH08,3618.88535919,OUT018
FDS12,3007.38304769,OUT027
FDR39,4780.70082466,OUT027
FDP12,992.417662629,OUT027
DRF60,5873.87296054,OUT027
FDC09,1578.36134331,OUT035
FDF50,3060.20340027,OUT018
FDG28,3920.64423816,OUT035
NCE19,919.38259471,OUT017
NCM53,251.261834128,OUT010
NCN18,1665.77895158,OUT049
FDF32,3094.11128463,OUT035
FDF11,3906.18265547,OUT013
DRI59,3794.54857393,OUT049
NCG54,2735.37849197,OUT035
FDM44,1564.24978384,OUT046
FDT57,3695.39841163,OUT018
FDV24,2461.39834212,OUT046
FDI50,571.438110477,OUT019
FDS09,762.477975905,OUT035
NCC31,4097.53799222,OUT027
FDQ07,571.304348924,OUT019
FDC22,3060.19150257,OUT017
FDZ56,2735.37849197,OUT046
FDZ40,129.84813518,OUT019
